GENE.NAME,HV0_LFC_nonDE_log2FoldChange,HV0_LFC_nonDE_padj,HV12_LFC_nonDE_log2FoldChange,HV12_LFC_nonDE_padj,HV24_LFC_nonDE_log2FoldChange,HV24_LFC_nonDE_padj,HV36_LFC_nonDE_log2FoldChange,HV36_LFC_nonDE_padj,KEGG,PathwayID,Pathway_info,Details
MED4_aarA,0.025079087,0.999823315,-0.389001299,0.116818976,-0.813991696,0.012721587,0.430076465,0.021823478,K14330,9191,Metabolism,99983 Lipid metabolism
MED4_accA,0.058737099,0.999823315,0.025770484,0.952779549,-0.081562459,0.840818057,0.700688932,0.005110773,K01962,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061]
MED4_accA,0.058737099,0.999823315,0.025770484,0.952779549,-0.081562459,0.840818057,0.700688932,0.005110773,K01962,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
MED4_accA,0.058737099,0.999823315,0.025770484,0.952779549,-0.081562459,0.840818057,0.700688932,0.005110773,K01962,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
MED4_accA,0.058737099,0.999823315,0.025770484,0.952779549,-0.081562459,0.840818057,0.700688932,0.005110773,K01962,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
MED4_accB,-0.069900167,0.999823315,-0.353291229,0.25476243,-0.718015102,0.022975726,-0.812264645,8.80E-05,K02160,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061]
MED4_accB,-0.069900167,0.999823315,-0.353291229,0.25476243,-0.718015102,0.022975726,-0.812264645,8.80E-05,K02160,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
MED4_accB,-0.069900167,0.999823315,-0.353291229,0.25476243,-0.718015102,0.022975726,-0.812264645,8.80E-05,K02160,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
MED4_accB,-0.069900167,0.999823315,-0.353291229,0.25476243,-0.718015102,0.022975726,-0.812264645,8.80E-05,K02160,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
MED4_accC,-0.092969239,0.999823315,-0.107687493,0.76477006,-1.340439552,1.27E-05,-0.420645619,0.042354955,K01961,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
MED4_accC,-0.092969239,0.999823315,-0.107687493,0.76477006,-1.340439552,1.27E-05,-0.420645619,0.042354955,K01961,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
MED4_accC,-0.092969239,0.999823315,-0.107687493,0.76477006,-1.340439552,1.27E-05,-0.420645619,0.042354955,K01961,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061]
MED4_accC,-0.092969239,0.999823315,-0.107687493,0.76477006,-1.340439552,1.27E-05,-0.420645619,0.042354955,K01961,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
MED4_accD,0.023489425,0.999823315,0.112380917,0.853456022,-1.661259468,1.09E-07,0.059963264,0.852923413,K01963,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
MED4_accD,0.023489425,0.999823315,0.112380917,0.853456022,-1.661259468,1.09E-07,0.059963264,0.852923413,K01963,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061]
MED4_accD,0.023489425,0.999823315,0.112380917,0.853456022,-1.661259468,1.09E-07,0.059963264,0.852923413,K01963,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
MED4_accD,0.023489425,0.999823315,0.112380917,0.853456022,-1.661259468,1.09E-07,0.059963264,0.852923413,K01963,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
