GENE.NAME,KEGG,HV0_LFC_nonDE,HV12_LFC_nonDE,HV24_LFC_nonDE,HV36_LFC_nonDE,LGV0_LFC_nonDE,LGV12_LFC_nonDE,LGV24_LFC_nonDE,LGV36_LFC_nonDE,LG0_LFC_nonDE,LG36_LFC_nonDE,LG48_LFC_nonDE,PathwayID,Pathway_info,Details
MED4_aarA,K14330,0.025079087,-0.389001299,-0.813991696,0.430076465,0.089095316,-0.433561828,-0.911826185,0.154303961,0.506012224,-0.209085922,-0.053394983,9191,Metabolism,99983 Lipid metabolism
MED4_accA,K01962,0.058737099,0.025770484,-0.081562459,0.700688932,0.06882816,-0.032598477,-0.028996108,0.327167493,0.196561557,-0.20698609,-0.223716684,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061]
MED4_accA,K01962,0.058737099,0.025770484,-0.081562459,0.700688932,0.06882816,-0.032598477,-0.028996108,0.327167493,0.196561557,-0.20698609,-0.223716684,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
MED4_accA,K01962,0.058737099,0.025770484,-0.081562459,0.700688932,0.06882816,-0.032598477,-0.028996108,0.327167493,0.196561557,-0.20698609,-0.223716684,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
MED4_accA,K01962,0.058737099,0.025770484,-0.081562459,0.700688932,0.06882816,-0.032598477,-0.028996108,0.327167493,0.196561557,-0.20698609,-0.223716684,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
MED4_accB,K02160,-0.069900167,-0.353291229,-0.718015102,-0.812264645,-0.040137913,-0.196517246,-0.603733434,0.020941556,0.220699547,0.151157504,-0.07987422,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061]
MED4_accB,K02160,-0.069900167,-0.353291229,-0.718015102,-0.812264645,-0.040137913,-0.196517246,-0.603733434,0.020941556,0.220699547,0.151157504,-0.07987422,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
MED4_accB,K02160,-0.069900167,-0.353291229,-0.718015102,-0.812264645,-0.040137913,-0.196517246,-0.603733434,0.020941556,0.220699547,0.151157504,-0.07987422,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
MED4_accB,K02160,-0.069900167,-0.353291229,-0.718015102,-0.812264645,-0.040137913,-0.196517246,-0.603733434,0.020941556,0.220699547,0.151157504,-0.07987422,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
MED4_accC,K01961,-0.092969239,-0.107687493,-1.340439552,-0.420645619,-0.099033367,-0.156433531,-1.500640567,-1.032762209,-0.121869337,-0.125518809,-0.342294397,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
MED4_accC,K01961,-0.092969239,-0.107687493,-1.340439552,-0.420645619,-0.099033367,-0.156433531,-1.500640567,-1.032762209,-0.121869337,-0.125518809,-0.342294397,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
MED4_accC,K01961,-0.092969239,-0.107687493,-1.340439552,-0.420645619,-0.099033367,-0.156433531,-1.500640567,-1.032762209,-0.121869337,-0.125518809,-0.342294397,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061]
MED4_accC,K01961,-0.092969239,-0.107687493,-1.340439552,-0.420645619,-0.099033367,-0.156433531,-1.500640567,-1.032762209,-0.121869337,-0.125518809,-0.342294397,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
MED4_accD,K01963,0.023489425,0.112380917,-1.661259468,0.059963264,0.148009823,-0.329328508,-1.13343175,-0.111957723,-0.058458512,-0.133373126,-0.280656063,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
MED4_accD,K01963,0.023489425,0.112380917,-1.661259468,0.059963264,0.148009823,-0.329328508,-1.13343175,-0.111957723,-0.058458512,-0.133373126,-0.280656063,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061]
MED4_accD,K01963,0.023489425,0.112380917,-1.661259468,0.059963264,0.148009823,-0.329328508,-1.13343175,-0.111957723,-0.058458512,-0.133373126,-0.280656063,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
MED4_accD,K01963,0.023489425,0.112380917,-1.661259468,0.059963264,0.148009823,-0.329328508,-1.13343175,-0.111957723,-0.058458512,-0.133373126,-0.280656063,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
MED4_aceF,K00627,-0.008378736,-0.267807131,-0.974090912,-1.002525973,0.036831989,-0.35020036,-1.262203072,-0.661804634,-0.199774937,-0.079245723,-0.326078934,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020]
MED4_aceF,K00627,-0.008378736,-0.267807131,-0.974090912,-1.002525973,0.036831989,-0.35020036,-1.262203072,-0.661804634,-0.199774937,-0.079245723,-0.326078934,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
MED4_aceF,K00627,-0.008378736,-0.267807131,-0.974090912,-1.002525973,0.036831989,-0.35020036,-1.262203072,-0.661804634,-0.199774937,-0.079245723,-0.326078934,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010]
MED4_acnB,K01682,-0.121809294,0.444656298,-0.346538435,-0.321632347,-0.101338772,0.615314451,0.235184784,0.836182526,-0.208036323,0.017234717,-0.471337368,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020]
MED4_acnB,K01682,-0.121809294,0.444656298,-0.346538435,-0.321632347,-0.101338772,0.615314451,0.235184784,0.836182526,-0.208036323,0.017234717,-0.471337368,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
MED4_acnB,K01682,-0.121809294,0.444656298,-0.346538435,-0.321632347,-0.101338772,0.615314451,0.235184784,0.836182526,-0.208036323,0.017234717,-0.471337368,9101,Carbohydrate metabolism,00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
MED4_acnB,K01682,-0.121809294,0.444656298,-0.346538435,-0.321632347,-0.101338772,0.615314451,0.235184784,0.836182526,-0.208036323,0.017234717,-0.471337368,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
MED4_acoA,K00161,0.091722034,0.369024634,0.219434576,0.555877113,0.153611048,0.457230977,-0.089325683,0.222603697,-0.069881399,0.414243546,-0.031814167,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010]
MED4_acoA,K00161,0.091722034,0.369024634,0.219434576,0.555877113,0.153611048,0.457230977,-0.089325683,0.222603697,-0.069881399,0.414243546,-0.031814167,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
MED4_acoA,K00161,0.091722034,0.369024634,0.219434576,0.555877113,0.153611048,0.457230977,-0.089325683,0.222603697,-0.069881399,0.414243546,-0.031814167,9132,Signal transduction,04066 HIF-1 signaling pathway [PATH:ko04066]
MED4_acoA,K00161,0.091722034,0.369024634,0.219434576,0.555877113,0.153611048,0.457230977,-0.089325683,0.222603697,-0.069881399,0.414243546,-0.031814167,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020]
MED4_acoB,K00162,-0.189280432,0.085617394,-0.840172246,-0.097329987,-0.103363163,0.004718726,-0.430291885,0.267232082,-0.303033063,0.216559154,-0.496316933,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020]
MED4_acoB,K00162,-0.189280432,0.085617394,-0.840172246,-0.097329987,-0.103363163,0.004718726,-0.430291885,0.267232082,-0.303033063,0.216559154,-0.496316933,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010]
MED4_acoB,K00162,-0.189280432,0.085617394,-0.840172246,-0.097329987,-0.103363163,0.004718726,-0.430291885,0.267232082,-0.303033063,0.216559154,-0.496316933,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620]
MED4_acoB,K00162,-0.189280432,0.085617394,-0.840172246,-0.097329987,-0.103363163,0.004718726,-0.430291885,0.267232082,-0.303033063,0.216559154,-0.496316933,9132,Signal transduction,04066 HIF-1 signaling pathway [PATH:ko04066]
MED4_acpP,K02078,-0.150312756,-0.214288829,-2.048908325,-1.165547502,-0.080839222,-0.267269978,-1.883333999,-0.78428542,-0.226020805,0.004319495,-0.462989873,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061]
MED4_acrA,K02005,-0.159277577,-0.322276438,-1.044037679,-0.072276009,-0.131059965,-0.437307504,-0.686564325,1.268733274,-0.178170929,0.048663789,-0.20075397,9193,Cellular processes and signaling,99992 Membrane and intracellular structural molecules
MED4_acs,K01895,0.079345341,-0.224918497,-1.350033597,-0.751068724,0.126382761,-0.634593166,-1.443741542,-0.54099577,-0.206145542,-0.138954391,-0.324028063,9102,Energy metabolism,00680 Methane metabolism [PATH:ko00680]
